Accuracy,Dataset,Source
0.74,PROTEINS,Leaderboard
0.73,PROTEINS,Leaderboard
0.73,PROTEINS,Leaderboard
0.73,PROTEINS,Leaderboard
0.73,PROTEINS,Leaderboard
0.73,PROTEINS,Leaderboard
0.73,PROTEINS,Leaderboard
0.72,PROTEINS,Leaderboard
0.72,PROTEINS,Leaderboard
0.72,PROTEINS,Leaderboard
0.72,PROTEINS,Leaderboard
0.71,PROTEINS,Leaderboard
0.7,PROTEINS,Leaderboard
0.76,PROTEINS,Leaderboard
