selected_features,accuracy_contribution,accuracy_contribution_std,run
eigenvector_centrality_0,0.6834549878345498,0.014033631679252707,2
closeness_centrality_3,0.6902676399026763,0.014572007368380727,2
lsme_2,0.6858880778588807,0.015256780121937347,2
self_walk_1,0.6832927818329276,0.008749481540762693,2
closeness_centrality_2,0.6848067045147336,0.01190950614118618,2
load_centrality_3,0.7055420383887536,0.01396594825253383,2
basic_expansion_1,0.7091646390916464,0.011363299351343076,2
page_rank_0,0.7075696134090294,0.011882227784183248,2
basic_expansion_2,0.7174371451743713,0.009258065330325672,2
page_rank_3,0.720492024871587,0.012295392059570039,2
eigenvector_centrality_1,0.719897269532306,0.009620159161074232,2
lsme_0,0.7185455528521222,0.013993473518433417,2
load_centrality_0,0.7188158961881589,0.010678014228607398,2
degree_centrality_3,0.7209786428764529,0.011951774625294617,2
page_rank_2,0.7207082995404163,0.013360240754853122,2
self_walk_0,0.7193565828602326,0.01198657964618374,2
load_centrality_2,0.7248715869153826,0.009763138080440829,2
load_centrality_1,0.7300081103000811,0.012245120756125159,2
basic_expansion_3,0.7286563936198972,0.01142119808830545,2
closeness_centrality_0,0.7284130846174643,0.00957504041141485,2
degree_centrality_2,0.730683968640173,0.013154252246608248,2
basic_expansion_0,0.7317112733171126,0.009958180358910516,2
self_walk_3,0.7334685050013517,0.010548553092210202,2
degree_centrality_1,0.7343876723438766,0.009478416252099603,2
page_rank_1,0.7299810759664774,0.014265728643569708,2
lsme_1,0.7306298999729656,0.008453753262955159,2
closeness_centrality_1,0.7326304406596378,0.010713239452692726,2
self_walk_1,0.583184644498513,0.026040617489198167,3
self_walk_0,0.5929981075966477,0.03262457186724143,3
page_rank_0,0.6183022438496891,0.01319843189513348,3
degree_centrality_0,0.6189781021897809,0.014023081749587005,3
eigenvector_centrality_2,0.6282779129494458,0.013044451162321708,3
degree_centrality_3,0.6437956204379561,0.013532945643194724,3
basic_expansion_0,0.653257637199243,0.01184165532455306,3
page_rank_3,0.6556636928899702,0.013756757417097382,3
closeness_centrality_3,0.6618815896188158,0.01496982131670021,3
load_centrality_0,0.672235739389024,0.009684330737702253,3
page_rank_1,0.6756961340902946,0.017078853331083756,3
lsme_3,0.6797512841308462,0.011869396383117842,3
eigenvector_centrality_1,0.6801297648012976,0.01172604676199696,3
lsme_1,0.6785617734522844,0.011853869388604709,3
lsme_2,0.679859421465261,0.012262268308444783,3
basic_expansion_2,0.6956204379562044,0.00985359739320197,3
